Model,Term,B,SE,t,p
Sensitivity depression,const,-2.7466587009226777,1.2134509260854087,-2.263510325698457,0.02404172024876688
Sensitivity depression,strong_tie_withdrawal_T2,1.1859878133313355,0.2505384388059928,4.733755901822787,2.8905554702508716e-06
Sensitivity depression,neutral_tie_withdrawal_T2,0.7011851216951337,0.2564189643372091,2.7345291075001206,0.006473705050529803
Sensitivity depression,offline_bullying_T1,0.3480506047133532,0.2743624594973102,1.2685795474754644,0.20519462433861144
Sensitivity depression,cyberbullying_T1,-0.33962766019839635,0.34312609356302454,-0.9898042339820314,0.32275932333824175
Sensitivity depression,depression_T1,0.901566042378158,0.04627177381734345,19.48414698639099,5.325091390069262e-63
Sensitivity depression,age,-0.024240516297536922,0.053933808941268715,-0.4494493671665886,0.6533066671561858
Sensitivity depression,gender,0.003236409444924579,0.2582501107314872,0.012532073793724726,0.9900062246614729
Sensitivity depression,parent_edu,-0.4669712142015365,0.29121236602532724,-1.6035418432777788,0.1094607429486184
Sensitivity depression,low_income,-0.39220627395579083,0.31558519290203835,-1.2427904818637567,0.21454064195563788
Sensitivity depression,recruit_source,-0.21061528844246036,0.293550383563007,-0.7174757732764275,0.47342316824549
Sensitivity anxiety,const,-2.927068801457196,1.1671644691160046,-2.5078460481872966,0.012469843021644863
Sensitivity anxiety,strong_tie_withdrawal_T2,0.7050274005504623,0.23961325451234988,2.9423555970862396,0.003411931139238099
Sensitivity anxiety,neutral_tie_withdrawal_T2,0.9043280110743079,0.24665703130897537,3.6663378549363137,0.0002730053041556891
Sensitivity anxiety,offline_bullying_T1,0.2770167554697201,0.26332782104798536,1.05198438344743,0.29332627666564143
Sensitivity anxiety,cyberbullying_T1,0.5029313696378733,0.3293313303788898,1.527128831196412,0.12737551154821508
Sensitivity anxiety,anxiety_T1,0.8688162691487924,0.04509791623887117,19.26510893645093,5.911999383684048e-62
Sensitivity anxiety,age,-0.06280084219741644,0.05169498213950917,-1.2148343920099616,0.22501553125335685
Sensitivity anxiety,gender,-0.019623027948012517,0.24771951274914158,-0.07921470428485862,0.936894254561113
Sensitivity anxiety,parent_edu,-0.2267160854703016,0.2797624885851621,-0.8103877207300694,0.41811157570528346
Sensitivity anxiety,low_income,-0.24045317339716285,0.3030597892072898,-0.7934182691346602,0.4279189820238666
Sensitivity anxiety,recruit_source,0.061742955965944424,0.283154643730386,0.21805383500874098,0.8274781300038354
Sensitivity stress,const,-7.8567685434135655,1.7940550772869617,-4.379335195937724,1.457105068221917e-05
Sensitivity stress,strong_tie_withdrawal_T2,0.9201271697122478,0.3591983040634905,2.561613346452799,0.010717470912647114
Sensitivity stress,neutral_tie_withdrawal_T2,1.6885944894532225,0.3693230415654473,4.572134146561199,6.123902006048136e-06
Sensitivity stress,offline_bullying_T1,0.5726254588353533,0.3980513366865816,1.4385718776928218,0.15091156870388153
Sensitivity stress,cyberbullying_T1,-0.5711816756225295,0.49434104687148384,-1.1554405187215262,0.24847433145967002
Sensitivity stress,stress_T1,0.9802401372649292,0.044622259189258065,21.967514757766967,6.405331100303863e-75
Sensitivity stress,age,0.11289951141854801,0.07758477781181486,1.4551760616288743,0.1462621567585555
Sensitivity stress,gender,-0.4682435426853962,0.37256365702265615,-1.2568148660214638,0.20942068340895728
Sensitivity stress,parent_edu,-0.21334672980248898,0.41991138651365295,-0.5080756003637263,0.6116294314345518
Sensitivity stress,low_income,0.1342891347720614,0.45508878525619684,0.2950833752065808,0.7680554307427503
Sensitivity stress,recruit_source,-0.05171119076054698,0.42332509877571844,-0.1221547952391645,0.9028266100165171
